country,iso3c,reported,confidence,cases,deaths,details
United States,USA,2020-01-04,Suspected,7,N/A,"NC: People in Stanly Co. who tested positive at least 12 weeks apart. First 2 cases on Nov. 23, one on Dec. 7, one on Dec. 16, and 3 on Jan. 4. No details."
United States,USA,2020-12-29,Suspected,1,N/A,NY: One case of reinfection was reported in Ontario County. No further details.
United States,USA,2020-12-30,Suspected,8,N/A,MO: Marion County reported 8 suspected cases of reinfection. All had at least 90 days between the two episodes and some had a negative test during the interval. The first 4 cases were reported on Dec. 7.
United States,USA,2020-12-22,Suspected,461,0,"WA: All cases had a minimum 90-day interval between the two episodes. 17 paired specimens are awaiting genomic sequencing. The first 120 suspected cases were reported on Oct. 20, 235 more on Dec. 1, and 106 on Dec. 22."
United States,USA,2020-12-21,Probable,1,0,MT: Libby resident Kaide Dodson was briefly hospitalized while suffering from COVID-19 in early August. She tested negative later that month and two more times in October. She fell ill again after her husband tested positive in early Nov.
United States,USA,2020-12-21,Suspected,1,0,"NC: Jermaine Byers from Guilford County tested positive twice within the span of ""a few months."" Both episodes were symptomatic with ""more intense"" body aches the second time."
United States,USA,2020-12-18,Suspected,1,0,"TX: 23-year-old Larissa Fenstermaker was infected in March and was sick with ""severe symptoms"" for 1.5 month. She again tested positive in mid-November and suffered mild symptoms for a few days."
United States,USA,2020-12-10,Suspected,250,N/A,"Indiana: The Regenstrief Institute, citing data from its health care partners, found at least 250 people who tested positive at least 90 days apart."
United States,USA,2020-12-10,Probable,2,N/A,AR: 2 girls (a baby and a 6-year-old girl) tested positive twice and were symptomatic both times. They were well and tested negative in between and were exposed to positive cases before the suspected reinfection. 2 other suspected cases from this study did not meet criteria for inclusion.
United States,USA,2020-12-03,Suspected,300,N/A,CO: About 300 people in the state have tested positive a second time.
United States,USA,2020-12-03,Probable,1,0,"Lake Mohegan, NY: Angelina Friedman, a 102-year-old nursing home resident, tested positive in March when she was taken to hospital for a minor leg procedure. Mild symptoms (fever) for up to 10 days, followed by a negative test. Tested positive again in October with more intense symptoms. Patient recovered."
United States,USA,2020-12-01,Suspected,1,0,"Dubuque, IA: Nursing home resident had two positive tests with an interval of at least 2 months. Patient was tested weekly and each test was negative until the apparent reinfection, which was symptomatic. No details on first episode."
United States,USA,2020-11-30,Suspected,34,0,NC: People in Mecklenburg County who had two positive tests more than three months apart. No deaths as of November 30.
United States,USA,2020-11-25,Suspected,1,0,"Dallas, TX: Meredith McKee, 45, tested positive in February, suffered mild symptoms, and recovered after a few weeks. Tested positive in June after going to the hospital with high blood pressure."
United States,USA,2020-11-14,Probable,1,0,RI: Man in his 70s tested positive in early April and was hospitalized 12 days later with worsening shortness of breath. Significant medical history. Hospitalized again 7 months later after wife and daughter tested positive. Severe symptoms. Positive for COVID-19.
United States,USA,2020-10-29,Suspected,1,1,"NV: Michelle Eaglehawk, 48, tested positive in April. Lingering cough and a case of severe pneumonia over the next few months. Tested positive a second time in late August, died on September 25."
